0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
19.80,0.08,0.28,0.62,1.09,1.69,2.42,3.28,4.26,5.29,6.52,7.87,9.35,10.95,12.66,14.36,16.30,18.35,20.35,22.62,24.99,27.28,29.85,32.52,35.08,37.93,40.66,43.68,46.56,49.52,52.78,55.88,59.04,62.27,65.81,69.16,72.56,76.02,79.53,83.09,86.70,90.35,94.05,97.79,101.56,105.07,108.92,112.80,116.40,120.35,124.32,128.00,132.02,135.74,139.48,143.57,147.34,151.13,155.27,159.09,162.92,166.77,170.62,174.48,178.35,182.22,186.10,189.99,193.89,197.43,201.33,205.23,208.78,212.69,216.60,220.15,224.05,227.60,231.50,235.05,238.59,242.48,246.01,249.54,253.07,256.95,260.46,263.97,267.47,270.97,274.46,277.95,281.43,284.90,288.37,291.46,294.91,298.36,301.79,304.86,308.28,
20.70,0.08,0.30,0.64,1.12,1.73,2.52,3.39,4.39,5.51,6.76,8.13,9.73,11.35,13.09,14.95,16.92,19.00,21.19,23.48,25.89,28.39,30.81,33.50,36.29,39.17,42.14,44.98,48.12,51.34,54.40,57.76,60.96,64.47,67.78,71.42,74.86,78.34,82.15,85.74,89.37,93.05,96.77,100.53,104.32,108.15,112.02,115.92,119.85,123.81,127.79,131.49,135.52,139.58,143.33,147.42,151.21,155.34,159.15,162.98,167.15,171.00,174.85,178.72,182.92,186.80,190.68,194.57,198.46,202.35,206.25,209.80,213.70,217.60,221.49,225.04,228.94,232.83,236.37,240.26,243.79,247.67,251.20,254.72,258.58,262.09,265.59,269.09,272.93,276.42,279.90,283.37,286.83,290.29,293.74,297.18,300.61,304.03,307.45,310.51,313.91,
21.60,0.08,0.32,0.67,1.19,1.81,2.56,3.50,4.51,5.72,6.99,8.48,10.00,11.64,13.51,15.39,17.38,19.63,21.84,24.17,26.59,29.29,31.93,34.65,37.47,40.38,43.38,46.47,49.63,52.88,56.20,59.36,62.82,66.35,69.95,73.36,77.08,80.59,84.42,88.03,91.96,95.66,99.69,103.47,107.28,111.13,115.02,119.23,123.17,127.15,131.14,134.85,138.89,142.96,147.04,151.14,154.93,159.07,162.89,167.04,170.88,175.06,178.92,183.12,186.99,190.86,194.74,198.96,202.85,206.74,210.62,214.51,218.40,222.29,225.84,229.72,233.61,237.49,241.02,244.89,248.76,252.28,256.14,259.65,263.50,267.00,270.49,274.32,277.79,281.27,285.07,288.53,291.97,295.41,298.85,302.27,305.68,309.09,312.49,315.87,319.25,
22.50,0.08,0.31,0.69,1.22,1.84,2.65,3.60,4.70,5.85,7.22,8.72,10.37,12.03,13.93,15.95,17.97,20.24,22.48,24.99,27.45,30.18,32.83,35.58,38.62,41.56,44.58,47.91,51.10,54.37,57.72,61.14,64.63,68.19,71.81,75.49,79.23,82.77,86.62,90.52,94.47,98.19,102.23,106.02,110.14,114.01,117.91,122.13,126.08,130.07,134.07,138.10,142.14,146.21,150.30,154.40,158.52,162.65,166.79,170.63,174.79,178.97,182.83,187.01,190.88,194.76,198.96,202.84,206.72,210.93,214.81,218.69,222.57,226.45,230.33,234.20,238.07,241.93,245.79,249.32,253.17,257.01,260.52,264.35,268.18,271.67,275.48,278.95,282.42,286.21,289.65,293.09,296.86,300.28,303.69,307.10,310.50,313.88,317.26,320.63,323.99,
23.40,0.09,0.33,0.72,1.25,1.92,2.74,3.71,4.81,6.06,7.44,8.96,10.62,12.41,14.33,16.37,18.55,20.85,23.11,25.64,28.28,31.03,33.71,36.68,39.74,42.71,45.96,49.10,52.53,55.83,59.20,62.87,66.38,69.96,73.60,77.30,81.06,84.88,88.74,92.66,96.62,100.63,104.68,108.49,112.62,116.79,120.69,124.92,128.89,133.17,137.18,141.22,145.27,149.65,153.73,157.84,161.96,166.09,170.23,174.38,178.22,182.39,186.57,190.43,194.61,198.80,202.67,206.87,210.74,214.61,218.81,222.68,226.55,230.42,234.28,238.14,241.99,245.84,249.69,253.53,257.36,261.19,265.01,268.50,272.31,276.11,279.57,283.35,286.80,290.57,294.00,297.75,301.16,304.57,308.29,311.67,315.05,318.42,321.78,325.12,328.46,
24.30,0.09,0.33,0.74,1.27,1.95,2.83,3.81,4.92,6.26,7.66,9.19,10.97,12.78,14.72,16.78,18.97,21.28,23.87,26.42,29.09,31.87,34.75,37.55,40.64,43.82,47.09,50.46,53.70,57.23,60.85,64.31,68.08,71.68,75.34,79.30,83.08,86.91,90.79,94.98,98.96,102.98,107.05,111.15,115.01,119.17,123.38,127.61,131.58,135.87,139.88,144.21,148.27,152.64,156.73,160.83,164.95,169.07,173.21,177.66,181.51,185.67,189.83,194.00,198.18,202.35,206.22,210.40,214.26,218.44,222.31,226.48,230.34,234.19,238.36,242.20,246.04,249.88,253.71,257.53,261.35,265.15,268.96,272.75,276.22,280.00,283.76,287.21,290.96,294.70,298.12,301.84,305.23,308.94,312.31,315.68,319.04,322.70,326.04,329.36,332.68,
25.20,0.09,0.34,0.76,1.30,2.03,2.92,3.90,5.10,6.37,7.87,9.42,11.20,13.14,15.10,17.18,19.52,21.85,24.45,27.03,29.71,32.50,35.58,38.58,41.69,44.89,48.19,51.57,55.04,58.59,62.23,65.71,69.49,73.34,77.01,80.99,85.03,88.87,92.77,96.97,100.96,104.98,109.05,113.43,117.57,121.75,125.95,129.91,134.17,138.45,142.76,146.80,151.15,155.22,159.60,163.70,168.11,172.23,176.36,180.50,184.64,189.10,193.25,197.41,201.27,205.43,209.60,213.76,217.62,221.78,225.94,229.79,233.94,237.78,241.62,245.75,249.58,253.40,257.21,261.32,265.12,268.91,272.69,276.46,279.92,283.67,287.42,291.15,294.88,298.29,302.00,305.39,309.07,312.44,316.11,319.45,323.10,326.42,329.74,333.35,336.64,
26.10,0.09,0.34,0.75,1.33,2.06,2.95,4.00,5.20,6.56,8.07,9.73,11.43,13.38,15.46,17.69,19.92,22.40,25.02,27.61,30.47,33.29,36.38,39.40,42.71,45.93,49.24,52.64,56.34,59.91,63.55,67.28,71.07,74.93,78.86,82.61,86.66,90.76,94.67,98.87,102.87,107.17,111.24,115.35,119.77,123.94,128.15,132.38,136.64,140.93,145.23,149.55,153.61,157.97,162.34,166.44,170.83,174.95,179.37,183.50,187.63,192.07,196.21,200.36,204.51,208.66,212.81,216.95,220.80,224.94,229.08,233.22,237.05,241.18,245.00,249.12,252.92,256.72,260.82,264.60,268.38,272.15,275.91,279.66,283.40,287.14,290.86,294.57,298.27,301.97,305.35,309.02,312.68,316.03,319.67,322.99,326.61,329.91,333.51,336.79,340.06,
27.00,0.10,0.36,0.77,1.35,2.13,3.03,4.09,5.30,6.67,8.27,9.94,11.76,13.72,15.82,18.06,20.43,22.94,25.57,28.33,31.05,34.04,37.15,40.37,43.51,46.94,50.26,53.88,57.38,60.96,64.83,68.57,72.37,76.24,80.18,84.17,88.23,92.33,96.49,100.70,104.96,109.00,113.34,117.45,121.87,126.04,130.25,134.75,139.01,143.29,147.59,151.90,156.24,160.59,164.95,169.04,173.43,177.82,181.94,186.35,190.47,194.60,199.02,203.16,207.29,211.42,215.55,219.68,223.81,227.94,232.06,236.17,239.99,244.10,248.19,251.99,256.08,259.86,263.93,267.69,271.45,275.49,279.23,282.96,286.68,290.39,294.09,297.78,301.45,305.12,308.78,312.13,315.76,319.38,322.70,326.30,329.89,333.17,336.73,339.99,343.24,
27.90,0.10,0.37,0.79,1.41,2.16,3.11,4.18,5.47,6.85,8.37,10.14,11.97,14.05,16.16,18.42,20.80,23.45,26.10,28.88,31.77,34.78,37.90,41.13,44.46,47.71,51.24,54.87,58.59,62.18,66.06,69.81,73.84,77.72,81.66,85.67,89.96,94.08,98.24,102.45,106.71,110.75,115.09,119.46,123.87,128.05,132.52,136.75,141.00,145.54,149.83,154.14,158.46,162.80,167.15,171.52,175.89,180.27,184.37,188.77,192.88,197.28,201.39,205.80,209.92,214.03,218.44,222.55,226.66,230.76,234.86,238.96,243.04,246.84,250.91,254.98,258.75,262.80,266.56,270.59,274.33,278.34,282.06,285.76,289.46,293.15,297.11,300.77,304.42,308.06,311.69,315.02,318.63,322.22,325.81,329.09,332.65,336.19,339.44,342.97,346.19,
